score,bucket,sub_bucket_id,sub_bucket_label,confidence,n_label_genes,status,n_genes
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,High,79,Unchanged,79
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_2,Cytokine & Chemokine Signalling,High,79,Unchanged,79
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_3,Endothelial Cell Migration,High,47,Relabelled,47
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_12,Endothelial Transcription Factors,High,70,Unchanged,70
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_9,FGF/PDGF/HGF RTK Signalling,High,70,Unchanged,70
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_13,Hypoxia-Induced Integrated Stress Response,High,49,Condensed,49
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_1,Lipoprotein Transport,Medium,21,Unchanged,21
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_8,Morphogenic Signalling,High,26,Unchanged,26
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_6,PI3K/Akt/MAPK Signalling,High,58,Unchanged,58
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_5,Phospholipid Signalling,High,44,Unchanged,44
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_4,Ras/MAPK Signalling,High,29,Unchanged,29
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_10,Ubiquitin-Mediated Receptor Turnover,Medium,21,Unchanged,21
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_11,Vascular Matrix Remodelling,High,49,Unchanged,49
Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_0,Vasoactive GPCR Signalling,High,34,Unchanged,34
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_10,BMP/ALK1 Signalling,High,55,Condensed,55
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_2,Elastic Fibre Assembly,High,26,Unchanged,26
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_7,Endothelial Apical-Basal Polarity & Barrier Regulation,Medium,35,Condensed,35
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_4,Endothelial Haemostasis & Coagulation,Medium,52,Unchanged,52
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_12,Endothelial Identity & Vascular Bed Specification,High,54,Relabelled,54
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_3,Endothelial Stress Adaptation,Low,20,Labelled,20
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_9,Endothelial-to-Mesenchymal Transition,Low,30,Labelled,30
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_5,Inflammatory Endothelial Activation,Medium,69,Absorbs ECS4,69
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_13,NO/cGMP Signalling,High,56,Condensed,56
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_8,Notch Signalling,High,23,Condensed,23
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_6,Pericyte Contractile Cytoskeleton,High,48,Unchanged,48
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_0,Periendothelial Matrix Assembly,High,27,Condensed,27
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_1,Proteoglycan Synthesis & ECM Remodelling,Medium,20,Condensed,20
Angiogenesis,Endothelial Cell Signature,endothelial_cell_signature_louvain_11,Rap1/CCM Signalling,High,50,Condensed,50
Angiogenesis,Hypoxia Signalling,hypoxia_signalling_louvain_3,ER Stress Transcriptional Response,Medium,21,Unchanged,21
Angiogenesis,Hypoxia Signalling,hypoxia_signalling_louvain_0,HIF-Driven Hypoxic Response,Medium,82,Unchanged,82
Angiogenesis,Hypoxia Signalling,hypoxia_signalling_louvain_4,Metabolic Reprogramming,High,61,Unchanged,61
Angiogenesis,Hypoxia Signalling,hypoxia_signalling_louvain_5,Oxygen Sensing Machinery,Medium,28,Unchanged,28
Angiogenesis,Hypoxia Signalling,hypoxia_signalling_louvain_1,PI3K/Akt/CaMKII Signalling,Medium,66,Relabelled,66
Angiogenesis,Hypoxia Signalling,hypoxia_signalling_louvain_6,Proteoglycan/Glycosaminoglycan Biosynthesis,High,20,Unchanged,20
Angiogenesis,Hypoxia Signalling,hypoxia_signalling_louvain_2,mTOR Signalling,High,20,Condensed,20
EMT,EMT Initiation,emt_initiation_louvain_5,BMP/Activin Signalling,High,45,Unchanged,45
EMT,EMT Initiation,emt_initiation_louvain_11,Canonical Wnt Signalling,High,21,Unchanged,21
EMT,EMT Initiation,emt_initiation_louvain_7,Epigenetic Regulation of Transcription,High,43,Unchanged,43
EMT,EMT Initiation,emt_initiation_louvain_1,Glucose & Glycogen Metabolism,High,28,Unchanged,28
EMT,EMT Initiation,emt_initiation_louvain_9,Hedgehog Signalling,High,60,Unchanged,60
EMT,EMT Initiation,emt_initiation_louvain_0,Hypoxia-Induced Glycolytic Programming,High,59,Unchanged,59
EMT,EMT Initiation,emt_initiation_louvain_10,Non-Canonical Wnt signalling,High,25,Unchanged,25
EMT,EMT Initiation,emt_initiation_louvain_8,Notch Signalling,High,38,Unchanged,38
EMT,EMT Initiation,emt_initiation_louvain_3,PI3K/Akt/mTOR Signalling,High,71,Unchanged,71
EMT,EMT Initiation,emt_initiation_louvain_2,PI3K/NF-kB Signalling & Cytoskeletal Remodelling,High,73,Relabelled,73
EMT,EMT Initiation,emt_initiation_louvain_4,Stress-Responsive EMT Induction,High,50,Unchanged,50
EMT,EMT Initiation,emt_initiation_louvain_6,TGF-β/Smad signalling,High,37,Unchanged,37
EMT,EMT Initiation,emt_initiation_louvain_12,Wnt Ligand-Receptor Interaction,High,75,Unchanged,75
EMT,EMT Maintenance,emt_maintenance_louvain_17,Cytokine & Interleukin Receptor Signalling,High,80,Unchanged,80
EMT,EMT Maintenance,emt_maintenance_louvain_9,ECM Receptor Interaction,High,67,Unchanged,67
EMT,EMT Maintenance,emt_maintenance_louvain_13,Epithelial-Stromal RTK Signalling,High,70,Relabelled,70
EMT,EMT Maintenance,emt_maintenance_louvain_10,Focal Adhesion Complex,High,20,Unchanged,20
EMT,EMT Maintenance,emt_maintenance_louvain_2,GPCR Signalling,High,48,Unchanged,48
EMT,EMT Maintenance,emt_maintenance_louvain_11,Inflammatory Cell Adhesion Molecules,Medium,23,Unchanged,23
EMT,EMT Maintenance,emt_maintenance_louvain_16,Interferon/IL-10 Cytokine Signalling,High,37,Unchanged,37
EMT,EMT Maintenance,emt_maintenance_louvain_1,Intracellular Signalling Cascades,Medium,39,Unchanged,39
